Fault ID,Fault Type,"Fault Location (Latitude, Longitude)",Voltage (V),Current (A),Power Load (MW),Temperature (Â°C),Wind Speed (km/h),Weather Condition,Maintenance Status,Component Health,Duration of Fault (hrs),Down time (hrs)
F001,Line Breakage,"(34.0522, -118.2437)",2200,250,50,25,20,Clear,Scheduled,Normal,2.0,1.0
F002,Transformer Failure,"(34.056, -118.245)",1800,180,45,28,15,Rainy,Completed,Faulty,3.0,5.0
F003,Overheating,"(34.0525, -118.244)",2100,230,55,35,25,Windstorm,Pending,Overheated,4.0,6.0
F004,Line Breakage,"(34.055, -118.242)",2050,240,48,23,10,Clear,Completed,Normal,2.5,3.0
F005,Transformer Failure,"(34.0545, -118.243)",1900,190,50,30,18,Snowy,Scheduled,Faulty,3.5,4.0
F006,Overheating,"(34.05, -118.24)",2150,220,52,32,22,Thunderstorm,Pending,Overheated,5.0,7.0
F007,Line Breakage,"(34.9449, -118.9839)",1994,233,51,23,21,Snowy,Completed,Normal,3.7,6.1
F008,Transformer Failure,"(34.2294, -118.2988)",2133,229,52,20,18,Snowy,Scheduled,Normal,5.4,2.1
F009,Line Breakage,"(34.1279, -118.8442)",2155,240,45,21,29,Rainy,Pending,Overheated,3.2,4.7
F010,Line Breakage,"(34.4192, -118.8254)",2065,199,55,25,21,Clear,Scheduled,Normal,4.0,2.8
F011,Overheating,"(34.3732, -118.1586)",2118,221,45,20,20,Clear,Completed,Normal,4.9,1.9
F012,Transformer Failure,"(34.0465, -118.623)",2106,247,47,25,13,Clear,Completed,Normal,2.4,6.9
F013,Line Breakage,"(34.9687, -118.5356)",2012,248,52,24,29,Clear,Completed,Faulty,3.9,6.4
F014,Line Breakage,"(34.3229, -118.46)",2289,192,52,35,28,Rainy,Scheduled,Normal,4.1,5.8
F015,Line Breakage,"(34.2256, -118.9178)",1848,231,49,39,13,Rainy,Scheduled,Faulty,2.7,5.0
F016,Transformer Failure,"(34.7105, -118.5379)",2102,246,53,38,18,Rainy,Completed,Faulty,3.5,1.9
F017,Overheating,"(34.9346, -118.9658)",2263,229,55,21,16,Rainy,Scheduled,Normal,4.5,6.0
F018,Line Breakage,"(34.1619, -118.6775)",2092,241,52,31,16,Thunderstorm,Completed,Faulty,6.0,3.7
F019,Transformer Failure,"(34.5459, -118.8822)",1943,245,50,30,15,Snowy,Completed,Faulty,5.1,3.7
F020,Line Breakage,"(34.668, -118.6576)",2065,213,46,31,23,Clear,Pending,Normal,2.4,6.9
F021,Line Breakage,"(34.1203, -118.2873)",1864,224,49,34,23,Thunderstorm,Scheduled,Overheated,2.7,5.9
F022,Overheating,"(34.1949, -118.16)",1913,182,48,31,26,Thunderstorm,Scheduled,Overheated,5.4,4.2
F023,Overheating,"(34.3627, -118.7696)",2284,247,47,31,15,Clear,Pending,Normal,4.5,6.2
F024,Line Breakage,"(34.8432, -118.2489)",1877,249,54,33,16,Snowy,Scheduled,Faulty,3.2,6.4
F025,Transformer Failure,"(34.8937, -118.532)",1869,218,45,22,18,Thunderstorm,Pending,Faulty,2.8,5.4
F026,Overheating,"(34.9593, -118.9408)",2010,197,47,35,15,Rainy,Completed,Normal,4.6,3.3
F027,Line Breakage,"(34.2486, -118.6496)",1915,215,47,32,13,Thunderstorm,Pending,Normal,2.8,1.9
F028,Transformer Failure,"(34.7606, -118.9892)",1860,246,49,36,13,Thunderstorm,Completed,Normal,4.6,2.8
F029,Line Breakage,"(34.5413, -118.39)",1878,189,50,28,11,Windstorm,Completed,Normal,4.5,3.6
F030,Line Breakage,"(34.8762, -118.3086)",2206,242,49,27,26,Clear,Scheduled,Overheated,4.4,4.6
F031,Transformer Failure,"(34.2413, -118.15)",2053,235,51,21,30,Clear,Completed,Overheated,4.9,6.4
F032,Overheating,"(34.5078, -118.5804)",2228,212,50,22,10,Clear,Pending,Faulty,3.0,4.0
F033,Overheating,"(34.4338, -118.7342)",2199,242,53,39,28,Windstorm,Pending,Overheated,5.5,5.0
F034,Line Breakage,"(34.6017, -118.4097)",2206,192,54,23,13,Rainy,Completed,Overheated,4.7,6.4
F035,Transformer Failure,"(34.8153, -118.2817)",1820,224,55,34,24,Thunderstorm,Pending,Normal,5.8,5.9
F036,Overheating,"(34.7444, -118.5682)",2264,183,48,38,15,Clear,Pending,Faulty,2.4,6.5
F037,Line Breakage,"(34.7291, -118.1506)",1929,225,55,31,21,Rainy,Completed,Faulty,5.1,2.9
F038,Overheating,"(34.991, -118.7368)",2206,200,48,37,27,Snowy,Pending,Faulty,5.0,5.7
F039,Line Breakage,"(34.8447, -118.1434)",1970,225,54,37,17,Snowy,Completed,Normal,5.7,1.5
F040,Transformer Failure,"(34.3129, -118.5028)",1895,228,48,28,25,Snowy,Completed,Faulty,5.6,5.5
F041,Line Breakage,"(34.3228, -118.8885)",2097,219,53,40,27,Snowy,Pending,Overheated,2.7,4.7
F042,Line Breakage,"(34.1986, -118.9095)",2106,231,49,24,20,Thunderstorm,Completed,Faulty,2.5,3.3
F043,Overheating,"(34.8146, -118.1125)",1950,190,50,27,24,Clear,Scheduled,Overheated,2.6,7.0
F044,Line Breakage,"(34.4945, -118.1668)",1912,211,48,34,30,Rainy,Scheduled,Normal,3.2,6.8
F045,Overheating,"(34.4833, -118.5611)",2084,250,54,26,23,Rainy,Pending,Overheated,3.6,4.5
F046,Transformer Failure,"(34.7468, -118.2933)",1986,213,51,31,21,Rainy,Completed,Overheated,3.4,6.7
F047,Line Breakage,"(34.3217, -118.1726)",2159,211,53,38,14,Clear,Pending,Overheated,3.9,2.9
F048,Overheating,"(34.2278, -118.6517)",2159,250,48,34,18,Thunderstorm,Scheduled,Faulty,4.5,4.0
F049,Transformer Failure,"(34.0647, -118.0042)",1811,237,53,40,11,Snowy,Completed,Overheated,2.6,5.1
F050,Line Breakage,"(34.9547, -118.7239)",1929,183,54,35,23,Rainy,Completed,Normal,4.6,2.9
F051,Overheating,"(34.6747, -118.6695)",2091,245,51,24,27,Thunderstorm,Completed,Normal,5.9,1.3
F052,Transformer Failure,"(34.5874, -118.2254)",1836,188,53,33,15,Rainy,Scheduled,Overheated,5.1,6.9
F053,Line Breakage,"(34.0295, -118.0712)",2173,195,50,22,13,Windstorm,Pending,Overheated,5.8,3.3
F054,Transformer Failure,"(34.3813, -118.5256)",2233,223,47,23,19,Snowy,Scheduled,Overheated,3.7,2.5
F055,Line Breakage,"(34.1846, -118.5986)",1916,224,55,40,12,Snowy,Completed,Normal,4.1,1.1
F056,Overheating,"(34.0609, -118.4429)",2149,227,46,25,10,Thunderstorm,Scheduled,Normal,3.3,2.8
F057,Overheating,"(34.5634, -118.1406)",2289,202,48,40,29,Windstorm,Scheduled,Overheated,2.9,3.1
F058,Overheating,"(34.9126, -118.4003)",2093,202,52,25,26,Rainy,Completed,Normal,4.5,6.6
F059,Line Breakage,"(34.8072, -118.6883)",1949,193,50,25,28,Thunderstorm,Scheduled,Normal,4.0,4.6
F060,Overheating,"(34.92, -118.0622)",2275,250,51,34,13,Thunderstorm,Scheduled,Faulty,3.0,1.8
F061,Transformer Failure,"(34.1883, -118.5957)",1983,187,52,38,13,Thunderstorm,Scheduled,Overheated,4.6,6.5
F062,Overheating,"(34.5751, -118.4681)",2001,249,55,26,19,Snowy,Scheduled,Faulty,5.1,2.8
F063,Overheating,"(34.4263, -118.5649)",1842,242,45,35,13,Snowy,Pending,Faulty,4.4,2.8
F064,Transformer Failure,"(34.7708, -118.3011)",2070,185,48,22,19,Thunderstorm,Pending,Overheated,4.2,4.8
F065,Overheating,"(34.048, -118.972)",2294,218,51,26,21,Thunderstorm,Scheduled,Overheated,5.5,5.4
F066,Overheating,"(34.8492, -118.4913)",2148,185,48,23,24,Rainy,Scheduled,Overheated,3.3,5.3
F067,Transformer Failure,"(34.2067, -118.3596)",1807,185,51,26,13,Snowy,Scheduled,Normal,4.6,6.5
F068,Transformer Failure,"(34.9844, -118.0129)",2223,209,50,32,11,Rainy,Scheduled,Overheated,3.0,5.0
F069,Transformer Failure,"(34.6804, -118.2898)",2261,219,48,40,18,Windstorm,Pending,Normal,3.7,3.5
F070,Transformer Failure,"(34.8426, -118.8105)",2198,242,49,39,10,Windstorm,Scheduled,Overheated,5.1,1.8
F071,Overheating,"(34.223, -118.3624)",1859,200,52,22,15,Thunderstorm,Completed,Normal,5.8,2.5
F072,Overheating,"(34.715, -118.305)",1945,248,49,29,28,Snowy,Scheduled,Normal,3.6,6.3
F073,Line Breakage,"(34.9502, -118.4453)",2054,205,47,36,11,Windstorm,Completed,Normal,2.4,1.2
F074,Transformer Failure,"(34.1845, -118.2375)",2212,188,48,33,29,Snowy,Completed,Overheated,2.6,4.6
F075,Line Breakage,"(34.6629, -118.4964)",2298,204,48,30,11,Thunderstorm,Scheduled,Normal,3.4,6.7
F076,Line Breakage,"(34.3501, -118.7994)",2129,187,51,32,14,Snowy,Pending,Normal,2.9,4.8
F077,Transformer Failure,"(34.658, -118.5611)",2246,236,46,27,29,Thunderstorm,Completed,Overheated,2.6,4.3
F078,Transformer Failure,"(34.0567, -118.3152)",2009,246,53,20,29,Rainy,Pending,Faulty,3.5,1.9
F079,Line Breakage,"(34.6843, -118.9941)",1801,187,51,38,13,Rainy,Pending,Normal,4.3,1.4
F080,Overheating,"(34.824, -118.5236)",2092,229,49,39,22,Windstorm,Pending,Normal,4.7,4.7
F081,Transformer Failure,"(34.9801, -118.3633)",2045,199,52,37,21,Rainy,Scheduled,Faulty,4.5,2.0
F082,Transformer Failure,"(34.9991, -118.1181)",1988,182,51,29,14,Clear,Completed,Faulty,4.8,4.2
F083,Line Breakage,"(34.9875, -118.875)",2120,225,48,32,23,Windstorm,Completed,Overheated,3.8,6.7
F084,Transformer Failure,"(34.3636, -118.674)",2004,197,53,26,17,Rainy,Pending,Normal,4.3,6.7
F085,Overheating,"(34.6593, -118.3811)",2260,239,53,33,21,Snowy,Scheduled,Faulty,2.6,1.7
F086,Overheating,"(34.4523, -118.0953)",2289,232,45,26,16,Snowy,Pending,Normal,4.6,6.6
F087,Transformer Failure,"(34.1803, -118.557)",2155,206,51,38,15,Snowy,Pending,Overheated,4.3,1.9
F088,Transformer Failure,"(34.5751, -118.1992)",1877,232,50,34,17,Rainy,Completed,Faulty,4.4,5.6
F089,Overheating,"(34.7353, -118.1241)",2146,192,46,22,10,Clear,Scheduled,Faulty,5.4,2.9
F090,Transformer Failure,"(34.203, -118.8494)",1909,219,46,31,29,Snowy,Pending,Faulty,3.9,5.2
F091,Transformer Failure,"(34.3032, -118.1977)",1881,199,47,33,13,Thunderstorm,Pending,Faulty,2.6,4.3
F092,Transformer Failure,"(34.6999, -118.7188)",2234,211,46,24,24,Clear,Scheduled,Normal,5.5,3.8
F093,Transformer Failure,"(34.1705, -118.98)",2152,226,52,38,28,Rainy,Completed,Normal,5.9,6.7
F094,Overheating,"(34.3438, -118.6602)",1843,227,46,25,14,Thunderstorm,Completed,Overheated,3.6,1.9
F095,Overheating,"(34.1971, -118.3658)",1949,190,50,39,25,Clear,Pending,Overheated,3.7,2.0
F096,Transformer Failure,"(34.192, -118.7198)",2066,183,52,30,15,Clear,Pending,Normal,4.8,2.6
F097,Transformer Failure,"(34.3375, -118.7272)",2188,238,55,22,20,Thunderstorm,Scheduled,Normal,5.5,6.6
F098,Line Breakage,"(34.7346, -118.9808)",1994,205,52,32,22,Clear,Pending,Overheated,3.1,3.3
F099,Transformer Failure,"(34.8031, -118.1464)",2201,234,51,30,14,Snowy,Pending,Faulty,4.2,3.9
F100,Transformer Failure,"(34.0833, -118.5501)",2143,190,55,30,26,Clear,Scheduled,Normal,5.2,1.6
F101,Line Breakage,"(34.1771, -118.935)",2092,210,46,22,10,Clear,Pending,Faulty,5.5,4.7
F102,Line Breakage,"(34.5828, -118.0344)",2296,238,55,30,13,Thunderstorm,Scheduled,Normal,4.8,2.2
F103,Overheating,"(34.9266, -118.8144)",2167,191,45,33,17,Rainy,Scheduled,Overheated,2.3,2.9
F104,Overheating,"(34.1926, -118.1824)",2162,243,54,25,25,Snowy,Pending,Overheated,4.4,6.2
F105,Transformer Failure,"(34.1849, -118.9937)",1890,205,49,24,27,Thunderstorm,Scheduled,Overheated,2.5,5.6
F106,Line Breakage,"(34.187, -118.6786)",1916,200,51,40,28,Snowy,Pending,Faulty,4.0,2.7
F107,Transformer Failure,"(34.2509, -118.6552)",1923,247,45,40,18,Snowy,Scheduled,Normal,2.2,4.0
F108,Overheating,"(34.0604, -118.2443)",2020,190,55,34,10,Clear,Completed,Overheated,5.1,6.5
F109,Overheating,"(34.6811, -118.3218)",1833,213,50,34,21,Windstorm,Completed,Faulty,3.2,3.9
F110,Overheating,"(34.9991, -118.8097)",2100,201,45,31,23,Windstorm,Completed,Faulty,5.7,6.1
F111,Transformer Failure,"(34.4636, -118.1009)",2031,199,47,32,23,Clear,Scheduled,Faulty,3.5,6.2
F112,Line Breakage,"(34.3994, -118.986)",2205,202,47,38,15,Rainy,Scheduled,Normal,3.6,1.9
F113,Transformer Failure,"(34.1978, -118.5027)",1881,218,53,28,17,Rainy,Completed,Overheated,4.9,3.6
F114,Line Breakage,"(34.4873, -118.3342)",1980,193,46,30,25,Thunderstorm,Completed,Normal,2.9,6.7
F115,Line Breakage,"(34.4163, -118.987)",1957,200,50,40,19,Thunderstorm,Completed,Overheated,2.5,1.8
F116,Transformer Failure,"(34.3411, -118.6266)",2152,196,50,38,25,Clear,Scheduled,Faulty,3.5,2.5
F117,Transformer Failure,"(34.6883, -118.0899)",2262,220,55,35,18,Thunderstorm,Completed,Overheated,5.2,5.2
F118,Line Breakage,"(34.9655, -118.2184)",2093,209,54,39,17,Rainy,Completed,Overheated,3.9,1.1
F119,Overheating,"(34.8807, -118.6159)",1875,221,46,36,25,Windstorm,Pending,Overheated,3.1,3.7
F120,Line Breakage,"(34.7913, -118.7238)",1873,226,45,35,17,Rainy,Pending,Normal,3.3,5.9
F121,Transformer Failure,"(34.5619, -118.2163)",2289,220,52,30,29,Thunderstorm,Scheduled,Overheated,2.8,6.5
F122,Overheating,"(34.1204, -118.2666)",2176,204,53,36,19,Rainy,Completed,Faulty,4.8,6.1
F123,Transformer Failure,"(34.261, -118.8559)",1812,183,55,40,23,Clear,Completed,Faulty,5.1,7.0
F124,Transformer Failure,"(34.6259, -118.4447)",2104,236,50,23,18,Windstorm,Completed,Normal,4.8,3.7
F125,Line Breakage,"(34.5865, -118.6772)",1808,195,45,30,27,Windstorm,Completed,Normal,3.3,5.3
F126,Overheating,"(34.0255, -118.5657)",1965,230,47,30,29,Clear,Pending,Faulty,3.3,5.5
F127,Line Breakage,"(34.8833, -118.9441)",2167,196,52,22,12,Rainy,Scheduled,Normal,4.1,6.6
F128,Line Breakage,"(34.0919, -118.6397)",1982,223,46,33,20,Clear,Completed,Faulty,4.2,4.1
F129,Overheating,"(34.7897, -118.3054)",2080,191,48,34,15,Clear,Completed,Normal,3.0,4.9
F130,Overheating,"(34.0242, -118.3571)",2157,208,52,21,11,Rainy,Scheduled,Normal,5.8,1.8
F131,Transformer Failure,"(34.323, -118.244)",2143,230,45,36,19,Windstorm,Scheduled,Overheated,4.9,3.5
F132,Line Breakage,"(34.0401, -118.4103)",1906,209,54,35,10,Snowy,Pending,Normal,4.3,3.2
F133,Line Breakage,"(34.3972, -118.8477)",1803,216,49,37,21,Thunderstorm,Completed,Normal,5.3,5.5
F134,Transformer Failure,"(34.3345, -118.6729)",1933,230,46,40,19,Windstorm,Scheduled,Faulty,4.4,4.9
F135,Overheating,"(34.77, -118.7954)",1857,185,51,23,16,Rainy,Pending,Overheated,5.0,6.0
F136,Overheating,"(34.2143, -118.4067)",1955,226,52,21,30,Rainy,Pending,Faulty,2.9,1.1
F137,Line Breakage,"(34.2164, -118.8191)",1970,206,52,32,20,Windstorm,Completed,Overheated,5.0,6.5
F138,Transformer Failure,"(34.5608, -118.7147)",2141,211,46,39,13,Clear,Scheduled,Overheated,2.2,1.1
F139,Transformer Failure,"(34.9302, -118.6966)",1995,200,46,21,21,Rainy,Pending,Normal,5.9,5.5
F140,Transformer Failure,"(34.0761, -118.5825)",1811,218,45,23,19,Rainy,Completed,Faulty,5.7,6.3
F141,Line Breakage,"(34.1203, -118.3633)",2287,183,52,25,10,Clear,Scheduled,Overheated,2.9,6.2
F142,Overheating,"(34.6949, -118.7269)",1811,241,46,24,16,Clear,Completed,Overheated,3.5,1.2
F143,Transformer Failure,"(34.8305, -118.5876)",2298,181,54,21,12,Snowy,Pending,Faulty,4.9,2.2
F144,Transformer Failure,"(34.0244, -118.728)",2246,204,48,34,10,Clear,Pending,Faulty,4.2,5.2
F145,Line Breakage,"(34.7156, -118.2575)",1946,226,46,39,21,Windstorm,Completed,Overheated,2.7,5.0
F146,Transformer Failure,"(34.7262, -118.4592)",1964,224,51,25,28,Windstorm,Completed,Faulty,5.9,5.6
F147,Line Breakage,"(34.8142, -118.2483)",2053,249,51,31,23,Clear,Pending,Faulty,5.5,3.0
F148,Transformer Failure,"(34.6455, -118.5492)",2076,201,45,30,26,Rainy,Pending,Faulty,4.2,6.0
F149,Line Breakage,"(34.8511, -118.4263)",2300,206,51,22,23,Clear,Pending,Overheated,2.2,1.6
F150,Line Breakage,"(34.2547, -118.4496)",2282,201,48,30,25,Clear,Completed,Overheated,5.3,3.2
F151,Transformer Failure,"(34.5231, -118.1806)",1912,224,51,23,17,Windstorm,Scheduled,Overheated,5.6,2.1
F152,Line Breakage,"(34.8932, -118.0307)",2209,193,52,24,12,Snowy,Scheduled,Faulty,3.2,2.3
F153,Overheating,"(34.0966, -118.1855)",1812,182,45,29,13,Rainy,Scheduled,Overheated,2.3,2.5
F154,Line Breakage,"(34.4219, -118.6425)",2006,181,54,29,20,Windstorm,Completed,Normal,3.2,4.7
F155,Transformer Failure,"(34.6352, -118.4067)",2147,242,45,35,20,Snowy,Scheduled,Faulty,4.8,6.2
F156,Transformer Failure,"(34.7529, -118.2302)",2016,224,55,35,10,Windstorm,Scheduled,Faulty,5.0,1.5
F157,Transformer Failure,"(34.5437, -118.917)",2170,192,52,32,20,Rainy,Pending,Faulty,2.1,2.9
F158,Overheating,"(34.8546, -118.7834)",2010,192,45,24,28,Clear,Pending,Faulty,2.3,2.1
F159,Transformer Failure,"(34.6971, -118.6118)",2273,248,55,21,18,Thunderstorm,Scheduled,Overheated,4.1,2.0
F160,Transformer Failure,"(34.2934, -118.8373)",1948,222,51,23,14,Clear,Scheduled,Faulty,3.9,1.0
F161,Overheating,"(34.8068, -118.0946)",2195,228,45,29,15,Rainy,Completed,Overheated,4.3,4.0
F162,Overheating,"(34.4447, -118.2992)",2266,194,46,25,14,Rainy,Pending,Overheated,4.3,3.6
F163,Transformer Failure,"(34.7943, -118.57)",2162,247,50,40,27,Clear,Completed,Faulty,2.1,3.6
F164,Overheating,"(34.4223, -118.9348)",1934,225,52,32,26,Rainy,Scheduled,Normal,2.1,1.5
F165,Line Breakage,"(34.6646, -118.5539)",2079,227,53,28,25,Clear,Pending,Normal,4.3,1.7
F166,Line Breakage,"(34.2322, -118.8526)",1868,230,45,31,11,Thunderstorm,Scheduled,Normal,4.1,2.6
F167,Overheating,"(34.0089, -118.1196)",1870,220,48,35,16,Rainy,Pending,Faulty,3.9,2.3
